Time_ID,Year,Month,Day,Quarter
1,2019,January,1,Q1
2,2019,May,1,Q1
3,2019,January,1,Q1
4,2019,March,1,Q2
5,2019,April,1,Q2
6,2019,January,1,Q2
7,2019,November,1,Q3
8,2019,October,1,Q3
9,2019,February,1,Q3
10,2019,August,1,Q4
11,2019,December,1,Q4
12,2019,September,1,Q4
13,2020,June,1,Q1
14,2020,November,1,Q1
15,2020,August,1,Q1
16,2020,November,1,Q2
17,2020,January,1,Q2
18,2020,April,1,Q2
19,2020,April,1,Q3
20,2020,May,1,Q3
21,2020,February,1,Q3
22,2020,March,1,Q4
23,2020,August,1,Q4
24,2020,July,1,Q4
25,2021,May,1,Q1
26,2021,June,1,Q1
27,2021,January,1,Q1
28,2021,April,1,Q2
29,2021,May,1,Q2
30,2021,January,1,Q2
31,2021,March,1,Q3
32,2021,December,1,Q3
33,2021,May,1,Q3
34,2021,April,1,Q4
35,2021,September,1,Q4
36,2021,March,1,Q4
